link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,agent_type_code,geometry
,East Encanto Drive,150,3712,,1,1,0.173114444,1,60,1800,,"LINESTRING (-111.938179 33.408598 ,-111.936012 33.409506 )"
,East Encanto Drive,3712,150,,1,1,0.173114444,1,60,1800,,"LINESTRING (-111.936012 33.409506 ,-111.938179 33.408599 )"
,East Bonita Way,150,3710,,1,1,0.063603713,1,60,1800,,"LINESTRING (-111.938179 33.408599 ,-111.939277 33.408668 )"
,East Bonita Way,3710,150,,1,1,0.063603713,1,60,1800,,"LINESTRING (-111.939277 33.408668 ,-111.938179 33.408598 )"
,South Encanto Drive,150,1611,,1,1,0.081965278,1,60,1800,,"LINESTRING (-111.938179 33.408599 ,-111.938317 33.407421 )"
,South Encanto Drive,1611,150,,1,1,0.081965278,1,60,1800,,"LINESTRING (-111.938316 33.407421 ,-111.938179 33.408598 )"
,South Mill Avenue,160,161,,1,1,0.006070812,1,60,1800,,"LINESTRING (-111.939938 33.421892 ,-111.939941 33.421980 )"
,East University Drive,160,4582,,1,1,0.103328072,1,60,1800,,"LINESTRING (-111.939938 33.421892 ,-111.938146 33.421898 )"
,East University Drive,161,4096,,1,1,0.008779997,1,60,1800,,"LINESTRING (-111.939941 33.421980 ,-111.940080 33.421929 )"
,South Mill Avenue,161,961,,1,1,0.083531137,1,60,1800,,"LINESTRING (-111.939941 33.421980 ,-111.939969 33.423189 )"
,South Rural Road,193,3713,,1,1,0.025594343,1,60,1800,,"LINESTRING (-111.926279 33.409757 ,-111.926283 33.410127 )"
,South Rural Road,3713,193,,1,1,0.025594343,1,60,1800,,"LINESTRING (-111.926284 33.410127 ,-111.926279 33.409757 )"
,South Rural Road,193,3020,,1,1,0.155411535,1,60,1800,,"LINESTRING (-111.926279 33.409757 ,-111.926277 33.407507 )"
,South Rural Road,3020,193,,1,1,0.155411535,1,60,1800,,"LINESTRING (-111.926277 33.407507 ,-111.926279 33.409757 )"
,East Encanto Drive,193,556,,1,1,0.121354095,1,60,1800,,"LINESTRING (-111.926279 33.409757 ,-111.928383 33.409745 )"
,East Encanto Drive,556,193,,1,1,0.121354095,1,60,1800,,"LINESTRING (-111.928383 33.409745 ,-111.926279 33.409756 )"
,North Scovel Street,195,197,,1,1,0.157679546,1,60,1800,,"LINESTRING (-111.919771 33.436760 ,-111.919788 33.439042 )"
,North Scovel Street,197,195,,1,1,0.157679546,1,60,1800,,"LINESTRING (-111.919789 33.439042 ,-111.919771 33.436760 )"
,East Gilbert Drive,195,546,,1,1,0.223594766,1,60,1800,,"LINESTRING (-111.919771 33.436760 ,-111.923645 33.436698 )"
,East Gilbert Drive,546,195,,1,1,0.223594766,1,60,1800,,"LINESTRING (-111.923645 33.436698 ,-111.919771 33.436760 )"
,East Gilbert Drive,195,196,,1,1,0.106354158,1,60,1800,,"LINESTRING (-111.919771 33.436760 ,-111.918957 33.437676 )"
,East Gilbert Drive,196,195,,1,1,0.106354158,1,60,1800,,"LINESTRING (-111.918958 33.437677 ,-111.919771 33.436760 )"
,East Gilbert Drive,196,195,,1,1,0.106354158,1,60,1800,,"LINESTRING (-111.918958 33.437677 ,-111.919771 33.436760 )"
,East Gilbert Drive,195,196,,1,1,0.106354158,1,60,1800,,"LINESTRING (-111.919771 33.436760 ,-111.918957 33.437676 )"
,North Scovel Street,197,195,,1,1,0.157679546,1,60,1800,,"LINESTRING (-111.919789 33.439042 ,-111.919771 33.436760 )"
,North Scovel Street,195,197,,1,1,0.157679546,1,60,1800,,"LINESTRING (-111.919771 33.436760 ,-111.919788 33.439042 )"
,North Lake View Road,199,1437,,1,1,0.007344626,1,60,1800,,"LINESTRING (-111.941609 33.438330 ,-111.941558 33.438232 )"
,North Lake View Road,1437,199,,1,1,0.007344626,1,60,1800,,"LINESTRING (-111.941558 33.438232 ,-111.941608 33.438330 )"
,East Curry Road,199,4363,,1,1,0.107280003,1,60,1800,,"LINESTRING (-111.941609 33.438330 ,-111.943313 33.437709 )"
,East Mesquite Circle,201,1935,,1,1,0.036443511,1,60,1800,,"LINESTRING (-111.929785 33.438837 ,-111.929167 33.438748 )"
,East Mesquite Circle,1935,201,,1,1,0.036443511,1,60,1800,,"LINESTRING (-111.929167 33.438749 ,-111.929785 33.438837 )"
,East Mesquite Circle,201,1581,,1,1,0.027458461,1,60,1800,,"LINESTRING (-111.929785 33.438837 ,-111.930200 33.439025 )"
,East Mesquite Circle,1581,201,,1,1,0.027458461,1,60,1800,,"LINESTRING (-111.930200 33.439025 ,-111.929785 33.438837 )"
,nan,201,2598,,1,1,0.046267414,1,60,1800,,"LINESTRING (-111.929785 33.438837 ,-111.930032 33.438209 )"
,nan,2598,201,,1,1,0.046267414,1,60,1800,,"LINESTRING (-111.930032 33.438209 ,-111.929784 33.438837 )"
,West Lakeside Drive,203,208,,1,1,0.021219879,1,60,1800,,"LINESTRING (-111.944668 33.430771 ,-111.945036 33.430767 )"
,West Lakeside Drive,208,203,,1,1,0.021219879,1,60,1800,,"LINESTRING (-111.945036 33.430767 ,-111.944668 33.430771 )"
,West Lakeside Drive,204,208,,1,1,0.011980066,1,60,1800,,"LINESTRING (-111.945244 33.430764 ,-111.945036 33.430767 )"
